序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长(秒),累计消费占比,累计点击占比
1117,2533,500635396,9657930100,172871.87,59522,156572,0.5621,222.0,0.21390974954875516,0.16596864770211414
1119,2832,500635396,9657930100,164553.1,74970,173306,0.5672,212.0,0.41752594464441334,0.3750118505217018
1120,2874,500635396,9657930100,103832.28,39270,110134,0.5535,234.0,0.5460068652816241,0.48451067104624773
1133,4721,500635396,9657930100,72765.96,23486,55320,0.57,222.0,0.6360466634238826,0.5499980481493668
1138,5553,500635396,9657930100,71798.68,51724,100920,0.5765,187.0,0.7248895599386899,0.6942230797972306
1132,4536,500635396,9657930100,48121.97,23315,52173,0.575,196.0,0.7844351560526944,0.7592336476742305
1125,3567,500635396,9657930100,38819.52,16735,32505,0.6115,175.0,0.8324700029066268,0.8058968195988111
1108,844,500635396,9657930100,38287.88,15931,48781,0.5177,229.0,0.8798470042750552,0.8503181516532174
1140,5867,500635396,9657930100,24613.57,15146,13988,0.5599,213.0,0.9103035649300695,0.892550622640352
1118,2818,500635396,9657930100,13968.87,6980,12860,0.6439,136.0,0.9275884909459627,0.9120133618117635
1124,3408,500635396,9657930100,12956.21,6733,12890,0.5714,229.0,0.9436203626217945,0.9307873765454474
1139,5573,500635396,9657930100,10656.71,10553,10503,0.5927,209.0,0.95680685830275,0.9602129190205055
1107,797,500635396,9657930100,8332.06,3712,9168,0.6722,213.0,0.9671168576555956,0.9705633040927519
1113,1934,500635396,9657930100,4656.78,2449,5135,0.6731,189.0,0.9728791059815012,0.9773919929510309
1149,6660,500635396,9657930100,4349.38,2727,5333,0.7072,181.0,0.9782609809302268,0.9849958453465093
1109,861,500635396,9657930100,4227.49,768,2244,0.5787,239.0,0.9834920305343057,0.987137304326974
1136,5331,500635396,9657930100,4160.45,2130,3953,0.7037,152.0,0.9886401255801341,0.9930765069681068
1106,509,500635396,9657930100,2532.96,350,889,0.5478,192.0,0.9917743824098718,0.9940524322847248
1145,6180,500635396,9657930100,1896.27,400,1364,0.4804,337.0,0.994120806040141,0.9951677755037169
1130,4482,500635396,9657930100,1556.31,396,1005,0.6404,197.0,0.9960465669075408,0.996271965290519
1137,5337,500635396,9657930100,727.12,260,711,0.5821,193.0,0.9969462971938615,0.9969969383828639
1129,4196,500635396,9657930100,657.56,352,563,0.659,152.0,0.9977599547016636,0.9979784404155769
1123,3366,500635396,9657930100,513.5,239,700,0.5176,236.0,0.9983953539507913,0.9986448579889247
1114,1998,500635396,9657930100,418.66,97,484,0.494,369.0,0.998913399227597,0.9989153287195303
1143,6023,500635396,9657930100,344.18,149,280,0.6667,207.0,0.999339283772027,0.9993307940686048
1142,6001,500635396,9657930100,182.78,71,244,0.5385,327.0,0.9995654537326025,0.9995287674899759
1147,6434,500635396,9657930100,89.74,49,76,0.7619,68.0,0.9996764970210479,0.9996653970343023
1134,4766,500635396,9657930100,83.21,22,40,0.625,101.0,0.9997794601593535,0.999726740911347
1115,2253,500635396,9657930100,70.6,27,62,0.6364,295.0,0.9998668198224272,0.9998020265786289
1128,4127,500635396,9657930100,20.95,13,14,0.8333,46.0,0.9998927431218804,0.9998382752332462
1141,5874,500635396,9657930100,18.64,22,61,0.6,100.0,0.9999158080527543,0.9998996191102907
1105,434,500635396,9657930100,18.54,7,12,0.7143,50.0,0.9999387492447287,0.9999191376166231
1146,6271,500635396,9657930100,17.47,11,9,1.0,53.0,0.9999603664304779,0.9999498095551453
1121,2992,500635396,9657930100,10.54,3,38,0.0,686.0,0.9999734085104893,0.9999581746292878
1126,3587,500635396,9657930100,7.03,6,11,0.3333,77.0,0.9999821073551268,0.9999749047775727
1148,6452,500635396,9657930100,5.59,5,4,1.0,33.0,0.999989024359611,0.9999888465678101
1135,5166,500635396,9657930100,3.88,1,1,1.0,120.0,0.999993825428913,0.9999916349258575
1111,998,500635396,9657930100,2.91,1,3,0.0,189.0,0.9999974262308896,0.9999944232839051
1144,6133,500635396,9657930100,2.08,2,2,1.0,120.0,1.0,1.0
1110,919,500635396,9657930100,0.0,0,0,,,1.0,1.0
1112,1380,500635396,9657930100,0.0,0,0,,,1.0,1.0
1116,2531,500635396,9657930100,0.0,0,0,,,1.0,1.0
1122,3324,500635396,9657930100,0.0,0,0,,,1.0,1.0
1127,3935,500635396,9657930100,0.0,0,0,,,1.0,1.0
1131,4491,500635396,9657930100,0.0,0,0,,,1.0,1.0
