推广单元ID,投放天数,消费,点击,CPC,投放频率
1841014603,178,4767.6,4023,1.1850857568978375,0.4876712328767123
2526158329,177,149.2,87,1.7149425287356321,0.4849315068493151
2874903000,178,2847.91,2019,1.4105547300643881,0.4876712328767123
4190988309,178,2478.0,1635,1.5155963302752293,0.4876712328767123
4190988310,172,4981.89,3283,1.5174809625342676,0.4712328767123288
8878077181,225,124225.65,168752,0.736143275338959,0.6164383561643836
9628223555,321,91605.25,72103,1.2704776500284316,0.8794520547945206
9630806627,309,171870.04,107520,1.5984936755952381,0.8465753424657534
9657930100,321,808153.3,358634,2.253420757652649,0.8794520547945206
9700005700,148,26939.52,12173,2.2130551219912924,0.4054794520547945
9773660250,161,6433.94,4206,1.529705183071802,0.4410958904109589
9811363528,259,181497.49,100380,1.8081041044032675,0.7095890410958904
