序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长(秒),累计消费占比,累计点击占比
2206,6522,525368335,9811363528,31241.97,10293,31253,0.8863,39.0,0.1721344371134589,0.1025403466826061
1486,1952,525368335,9811363528,23556.53,28520,31283,0.6368,210.0,0.30192426892932417,0.38666068938035464
2197,6483,525368335,9811363528,21240.56,994,2010,0.8,157.0,0.4189537596936597,0.39656306037059175
2196,6474,525368335,9811363528,12230.47,690,1211,0.6592,172.0,0.4863401975233819,0.40343693962940824
1984,5045,525368335,9811363528,9739.85,3556,5599,0.6304,63.0,0.5400040220939684,0.4388623231719466
1976,4969,525368335,9811363528,9353.77,4456,5427,0.449,320.0,0.5915406548299564,0.4832536361825065
2049,5460,525368335,9811363528,9272.73,2590,5678,0.697,171.0,0.6426307800382927,0.5090555887627017
1653,2914,525368335,9811363528,4623.04,5627,3428,0.7333,205.0,0.668102425653246,0.5651125722255429
1822,4025,525368335,9811363528,4371.61,319,1051,0.5397,264.0,0.6921887629306189,0.5682904961147639
1987,5070,525368335,9811363528,4240.55,2224,4333,0.8343,111.0,0.7155529965977494,0.5904463040446304
1639,2843,525368335,9811363528,4124.08,5431,5542,0.7917,117.0,0.7382755134368243,0.6445507073122135
1762,3595,525368335,9811363528,3343.5,420,418,0.8,121.0,0.7566972547831239,0.6487348077306236
1660,2961,525368335,9811363528,3144.54,4114,5321,0.9121,95.0,0.7740227826829572,0.6897190675433353
2054,5484,525368335,9811363528,2870.73,670,867,0.8636,66.0,0.7898396947616361,0.6963937039250847
1664,2978,525368335,9811363528,2698.76,4658,6365,0.9164,86.0,0.8047091006763182,0.7427973699940227
2218,6607,525368335,9811363528,2674.93,1735,2223,0.6209,240.0,0.8194472100166672,0.7600816895795975
1935,4718,525368335,9811363528,2594.66,813,1424,0.7243,123.0,0.8337430543120432,0.768180912532377
1620,2742,525368335,9811363528,2201.88,6284,4228,0.9227,58.0,0.8458747916637973,0.8307830245068739
1828,4045,525368335,9811363528,2116.51,24,117,0.5714,341.0,0.8575361644099785,0.8310221159593545
1753,3515,525368335,9811363528,2110.21,88,180,0.6615,152.0,0.8691628259342419,0.8318987846184499
1911,4594,525368335,9811363528,2076.36,273,546,0.7826,227.0,0.8806029835121698,0.8346184498904164
1480,1916,525368335,9811363528,1457.46,924,1318,0.698,174.0,0.8886331767655203,0.8438234708109185
1295,709,525368335,9811363528,1363.47,2319,263,0.9787,79.0,0.8961455116461662,0.866925682406854
1333,926,525368335,9811363528,1346.58,500,94,0.954,120.0,0.9035647873937659,0.8719067543335326
1367,1167,525368335,9811363528,1264.77,257,325,0.8144,111.0,0.9105333131310349,0.8744670253038453
1709,3222,525368335,9811363528,1176.51,172,337,0.7801,144.0,0.9170155511783911,0.8761805140466228
2079,5596,525368335,9811363528,1051.38,988,1708,0.6986,126.0,0.9228083582418493,0.8860231121737397
1600,2633,525368335,9811363528,877.62,769,1298,0.6834,212.0,0.9276437967465118,0.8936840007969715
1454,1672,525368335,9811363528,662.43,3390,507,0.9859,66.0,0.931293599085387,0.9274556684598526
1283,653,525368335,9811363528,570.08,73,221,0.597,259.0,0.9344345789886913,0.9281829049611476
2084,5640,525368335,9811363528,531.84,40,33,0.875,30.0,0.9373648672846734,0.9285813907152819
1243,433,525368335,9811363528,438.82,72,332,0.4746,375.0,0.9397826416341823,0.9292986650727236
1279,640,525368335,9811363528,432.45,35,165,0.3871,337.0,0.9421653190815301,0.9296473401075912
1857,4260,525368335,9811363528,362.82,62,58,0.913,49.0,0.9441643548809214,0.9302649930264993
1805,3923,525368335,9811363528,316.24,20,94,0.5263,244.0,0.9459067480268324,0.9304642359035664
2024,5260,525368335,9811363528,310.37,345,915,0.6833,214.0,0.9476167991294647,0.9339011755329747
1334,937,525368335,9811363528,286.55,134,107,0.908,103.0,0.9491956087549416,0.9352361028093246
1224,270,525368335,9811363528,263.36,50,167,0.6512,163.0,0.9506466480254548,0.9357342100019924
1328,888,525368335,9811363528,244.33,31,104,0.5769,291.0,0.9519928373669058,0.9360430364614465
2011,5212,525368335,9811363528,242.98,40,36,0.8148,68.0,0.9533315885893744,0.9364415222155807
1405,1318,525368335,9811363528,239.2,249,245,0.8079,91.0,0.9546495130786925,0.9389220960350667
1830,4053,525368335,9811363528,223.0,37,100,0.7333,287.0,0.9558781801402223,0.939290695357641
2212,6561,525368335,9811363528,190.83,93,12,0.8333,108.0,0.9569295995812613,0.9402171747360032
1179,33,525368335,9811363528,183.41,75,149,0.7288,108.0,0.9579401369164864,0.940964335525005
1760,3575,525368335,9811363528,167.95,71,201,0.6,316.0,0.958865494015069,0.9416716477385934
2200,6490,525368335,9811363528,166.07,165,145,0.9524,55.0,0.9597804928442542,0.9433154014743973
2103,5771,525368335,9811363528,165.76,118,152,0.8571,29.0,0.960693783660932,0.9444909344490935
