方案ID,推广单元ID,N,A,利用率,M匹配度,总消费,总点击,CPC,总浏览,浏览深度,跳出中位,时长中位,Nplus,Top10满10,Top10消费占比,Top10点击占比,Gap,HHI,HHI星,投放天数,上方位展现占比,首位占比,上方位消费占比,预算份额,象限,Jmax
63563817,1841014603,76,35,0.4605263157894737,0.9050485366705,4767.599999999999,4023,1.1850857568978372,12090,3.005219985085757,0.6901,119.0,35,1,0.9355440892692339,0.9555058414118817,-0.019961752142647726,0.5230065056954029,0.5089772852746794,178,0.19078317538666925,0.14405789718682208,0.8017765752160415,0.0033434557327576024,Ⅱ低利用高匹配,0.4326923076923077
63563817,2526158329,26,14,0.5384615384615384,0.8885928014545006,149.20000000000002,87,1.7149425287356324,216,2.4827586206896552,0.79165,27.5,14,1,0.942426273458445,0.9425287356321839,-0.000102462173738882,0.14076771377642328,0.07467292252845584,177,0.039178164971296205,0.01148151878336187,0.38860589812332436,0.00010463201512866733,Ⅲ低利用低匹配,0.08955223880597014
63563817,2874903000,72,60,0.8333333333333334,0.9506769081195243,2847.91,2019,1.4105547300643881,2179,1.079247152055473,1.0,66.5,60,1,0.6981681303131069,0.6919266963843487,0.0062414339287582,0.08829584021661327,0.07284322733892876,178,0.20962646136298832,0.07127459366980325,0.8601957224771851,0.0019972021595514944,Ⅰ高利用高匹配,0.0
63563817,4190988309,47,19,0.40425531914893614,0.9637361811463818,2477.9999999999995,1635,1.515596330275229,12179,7.4489296636085625,0.72715,225.5,19,1,0.9839790153349478,0.9834862385321101,0.0004927768028376578,0.6904633301544312,0.673266848496344,178,0.09658165789592048,0.018445553906355418,0.7977804681194514,0.001737789098450654,Ⅱ低利用高匹配,0.11818181818181818
63563817,4190988310,73,45,0.6164383561643836,0.9735428416821676,4981.889999999999,3283,1.5174809625342673,7520,2.2905878769418213,0.82735,97.5,45,1,0.8402774850508543,0.8419128845568078,-0.0016353995059534832,0.18909956925235055,0.1706700140080858,172,0.14398237927649693,0.03326230777211169,0.42936917515240197,0.003493734516416598,Ⅱ低利用高匹配,0.4326923076923077
495403620,8878077181,4,4,1.0,0.8593708270263946,124225.7,168752,0.7361435716317436,1694374,10.040615814923674,0.08295,661.5,4,0,1.0,1.0,0.0,0.5074211024572389,0.3432281366096519,225,0.8858754805922933,0.8189096917161941,0.9664610463052331,0.08711786408692553,Ⅳ高利用低匹配,0.0027247956403269754
495403620,9628223555,364,247,0.6785714285714286,0.7816984499282973,91605.25000000001,72103,1.2704776500284318,210914,2.9251764836414575,0.8889,86.0,247,1,0.8550373477502653,0.8703521351400081,-0.01531478738974279,0.13502388198642395,0.13150771890506796,321,0.18531299400814527,0.08670893202911083,0.6580843346860576,0.06424156772027717,Ⅳ高利用低匹配,0.1384180790960452
495817671,9630806627,442,281,0.6357466063348416,0.8357293165411566,171869.99999999997,107520,1.5984933035714284,166126,1.5450706845238096,0.875,101.0,281,1,0.730716646302438,0.7544177827380952,-0.02370113643565719,0.09811930324312494,0.09489830075470752,309,0.17767550276871372,0.08423050945056697,0.5448198638505849,0.12053019061772152,Ⅲ低利用低匹配,0.1384180790960452
500635396,9657930100,45,39,0.8666666666666667,0.8963708935510893,808153.3,358634,2.253420757652649,812358,2.2651449667348884,0.5927,193.0,39,1,0.9275884909459627,0.9120133618117635,0.015575129134199228,0.1297231664971934,0.10682114456290902,321,0.4398983672551986,0.11692338464271798,0.8103323342242121,0.5667473747445203,Ⅰ高利用高匹配,0.012474012474012475
500635396,9700005700,17,11,0.6470588235294118,0.6408806471770916,26939.519999999997,12173,2.213055121991292,32554,2.6742791423642487,0.87115,50.0,11,1,0.9999758718789348,0.9999178509816807,5.8020897254040804e-05,0.29759027787620906,0.22734930566382996,148,0.3305699037395146,0.30870756052278453,0.21886284536621292,0.0188923342104493,Ⅳ高利用低匹配,0.0
500635396,9773660250,6,5,0.8333333333333334,0.9390713742735599,6433.94,4206,1.529705183071802,9950,2.36566809320019,0.4082,211.0,5,0,1.0,1.0,0.0,0.5297547347338609,0.4121934184173261,161,0.2858362058455161,0.08570985225496824,0.8146236986978431,0.0045120382534647304,Ⅰ高利用高匹配,0.0
525368335,9811363528,1055,577,0.5469194312796208,0.5928986340727396,181497.49999999997,100380,1.8081042040247057,138303,1.3777943813508666,0.8,91.5,577,1,0.7155529965977494,0.5904463040446304,0.12510669255311901,0.07763810995032042,0.07603678722453973,259,0.08916314893296573,0.07172536993728743,0.2903362305265913,0.1272818308700757,Ⅲ低利用低匹配,0.10600155884645363
