日期,方案ID,推广单元ID,Bjt,Kjt,Ejt,Eup,Etop,qjt,cpc,ctr,pjt
2025-09-11,63563817,1841014603,30.95,31,766,133,85,1.001615508885299,0.9983870967741936,0.04046997389033943,3.573107049608355
2025-09-11,63563817,2526158329,0.0,0,62,2,1,,,0.0,3.9274193548387095
2025-09-11,63563817,2874903000,19.98,16,483,103,41,0.8008008008008007,1.24875,0.033126293995859216,3.5527950310559007
2025-09-11,63563817,4190988309,13.33,14,1508,164,25,1.0502625656414104,0.9521428571428572,0.009283819628647215,3.812002652519894
2025-09-11,63563817,4190988310,23.61,19,705,111,13,0.8047437526471835,1.2426315789473683,0.02695035460992908,3.7361702127659573
2025-09-11,495403620,8878077181,875.6,1235,1651,1597,1477,1.4104613978985838,0.7089878542510122,0.7480314960629921,1.2071471835251364
2025-09-11,495403620,9628223555,51.62,64,5149,560,90,1.239829523440527,0.8065625,0.012429597980190329,3.810642843270538
2025-09-11,495817671,9630806627,41.9,50,3665,461,67,1.1933174224343677,0.838,0.013642564802182811,3.783901773533424
2025-09-11,500635396,9657930100,4794.35,1625,42689,26417,5450,0.33894062803091135,2.950369230769231,0.03806601232167537,2.8802618941647733
2025-09-11,500635396,9773660250,0.0,0,47,1,0,,,0.0,3.9680851063829787
2025-09-11,525368335,9811363528,47.04,70,20484,417,225,1.4880952380952381,0.672,0.0034173013083382154,3.95298769771529
2025-09-12,63563817,1841014603,37.32,36,813,150,96,0.9646302250803859,1.0366666666666666,0.04428044280442804,3.5461254612546127
2025-09-12,63563817,2526158329,1.79,2,47,5,2,1.1173184357541899,0.895,0.0425531914893617,3.776595744680851
2025-09-12,63563817,2874903000,11.54,11,537,99,35,0.953206239168111,1.049090909090909,0.020484171322160148,3.625698324022346
2025-09-12,63563817,4190988309,5.81,6,1345,123,16,1.0327022375215147,0.9683333333333333,0.0044609665427509295,3.844981412639405
2025-09-12,63563817,4190988310,19.07,14,795,100,5,0.7341373885684321,1.362142857142857,0.01761006289308176,3.80188679245283
2025-09-12,495403620,8878077181,795.66,1120,1487,1443,1320,1.4076364276198376,0.7104107142857142,0.7531943510423672,1.2128446536650974
2025-09-12,495403620,9628223555,64.9,81,5135,633,117,1.2480739599383666,0.8012345679012346,0.015774099318403116,3.780915287244401
2025-09-12,495817671,9630806627,44.93,53,3700,476,111,1.1796127309147564,0.8477358490566038,0.014324324324324324,3.762027027027027
2025-09-12,500635396,9657930100,4587.95,1568,42075,26114,5166,0.3417648405061084,2.925988520408163,0.03726678550207962,2.8848484848484848
2025-09-12,500635396,9773660250,0.0,0,19,2,0,,,0.0,3.8421052631578947
2025-09-12,525368335,9811363528,47.76,69,21622,531,335,1.4447236180904524,0.6921739130434782,0.003191194154102303,3.939922301359726
2025-09-13,63563817,1841014603,35.77,35,795,167,122,0.9784735812133072,1.022,0.0440251572327044,3.4547169811320755
2025-09-13,63563817,2526158329,0.0,0,37,2,2,,,0.0,3.8378378378378377
2025-09-13,63563817,2874903000,12.19,11,495,107,33,0.9023789991796555,1.1081818181818182,0.022222222222222223,3.5757575757575757
2025-09-13,63563817,4190988309,9.69,10,1760,144,24,1.0319917440660475,0.969,0.005681818181818182,3.856818181818182
2025-09-13,63563817,4190988310,14.42,11,705,78,7,0.7628294036061026,1.3109090909090908,0.015602836879432624,3.8191489361702127
2025-09-13,495403620,8878077181,687.78,987,1415,1373,1277,1.4350519061327751,0.696838905775076,0.6975265017667844,1.1908127208480566
2025-09-13,495403620,9628223555,58.52,70,5525,611,121,1.1961722488038278,0.8360000000000001,0.012669683257918552,3.801266968325792
