方案ID,推广单元ID,关键词ID,C,K,V,in_cand,qbar,eta_raw,eta_eb,eta_win,eta26_d0.3,eta26_d0.5,eta26_d0.7,eta26,dbar,d,类别,w
63563817,1841014603,9,3424.41,3271,9750,True,0.8438207903347595,1.1319951497667706,1.131685203603477,1.131685203603477,1.039505561081043,1.0658426018017386,1.092179642522434,1.0658426018017386,3.005219985085757,2.9807995608053326,重点词,0.7315411581490635
63563817,1841014603,726,252.86,135,255,True,0.8438207903347595,0.6327081277434472,0.6440540287490728,0.6440540287490728,0.8932162086247217,0.8220270143745364,0.750837820124351,0.8220270143745364,3.005219985085757,1.9513409781866158,重点词,0.05401733356974551
63563817,1841014603,1186,1.79,1,1,True,0.8438207903347595,0.662059082065831,0.93858738648709,0.93858738648709,0.981576215946127,0.969293693243545,0.957011170540963,0.969293693243545,3.005219985085757,2.7824177645206727,潜力词,0.0003823895716595921
63563817,1841014603,1567,37.32,23,77,True,0.8438207903347595,0.7303583174879492,0.7782497225352636,0.7782497225352636,0.933474916760579,0.8891248612676318,0.8447748057746846,0.8891248612676318,3.005219985085757,3.2594116090543888,重点词,0.007972502130913954
63563817,1841014603,1667,88.09,41,86,True,0.8438207903347595,0.551578113665698,0.5891681334665765,0.5891681334665765,0.8767504400399729,0.7945840667332882,0.7124176934266035,0.7945840667332882,3.005219985085757,2.245750201646654,重点词,0.01881826668575054
63563817,1841014603,2123,6.32,3,2,True,0.8438207903347595,0.562540707388214,0.8077369451108145,0.8077369451108145,0.9423210835332443,0.9038684725554073,0.8654158615775701,0.9038684725554073,3.005219985085757,2.367432716426005,潜力词,0.001350112901055096
63563817,1841014603,2478,49.0,25,166,True,0.8438207903347595,0.6046355902539987,0.6604827185847518,0.6604827185847518,0.8981448155754255,0.8302413592923759,0.7623379030093262,0.8302413592923759,3.005219985085757,5.758841208505638,重点词,0.010467647492357549
63563817,1841014603,2505,6.15,2,7,True,0.8438207903347595,0.38539374208059757,0.7340022177196112,0.7340022177196112,0.9202006653158833,0.8670011088598055,0.8138015524037279,0.8670011088598055,3.005219985085757,3.1041759880686053,黄金词,0.0013137965730203862
63563817,1841014603,2570,10.34,7,27,True,0.8438207903347595,0.8022824273002769,0.88889132055896,0.88889132055896,0.9666673961676879,0.94444566027948,0.922223924391272,0.94444566027948,3.005219985085757,3.402783992045737,重点词,0.0022088872463464707
63563817,1841014603,2889,1.89,1,1,True,0.8438207903347595,0.627029501004147,0.9291543474269183,0.9291543474269183,0.9787463042280754,0.9645771737134592,0.9504080431988428,0.9645771737134592,3.005219985085757,2.7824177645206727,潜力词,0.0004037521175623626
63563817,1841014603,2892,30.77,18,54,True,0.8438207903347595,0.6932578363393266,0.7569287567386319,0.7569287567386319,0.9270786270215895,0.878464378369316,0.8298501297170423,0.878464378369316,3.005219985085757,3.001606149257156,重点词,0.006573255374282485
63563817,1841014603,2985,114.03,75,197,True,0.8438207903347595,0.7794565620217295,0.7940161501133411,0.7940161501133411,0.9382048450340023,0.8970080750566706,0.8558113050793388,0.8970080750566706,3.005219985085757,2.6631537335022415,重点词,0.024359711092929212
63563817,1841014603,3169,5.66,4,4,True,0.8438207903347595,0.8375164359702032,0.9329696084250255,0.9329696084250255,0.9798908825275077,0.9664848042125127,0.9530787258975179,0.9664848042125127,3.005219985085757,2.3368133233905044,潜力词,0.0012091200980968108
63563817,1841014603,3304,7.68,5,6,True,0.8438207903347595,0.7715402063136965,0.8885278770323499,0.8885278770323499,0.966558363109705,0.944263938516175,0.9219695139226449,0.944263938516175,3.005219985085757,2.3109046062066194,潜力词,0.001640643525332775
63563817,1841014603,3501,13.49,8,40,True,0.8438207903347595,0.7027936289979764,0.813952949196413,0.813952949196413,0.9441858847589238,0.9069764745982065,0.8697670644374891,0.9069764745982065,3.005219985085757,4.002609992542879,重点词,0.0028818074422837414
63563817,1841014603,4048,2.81,2,23,True,0.8438207903347595,0.8434774070447243,0.9595373977732911,0.9595373977732911,0.9878612193319873,0.9797686988866455,0.9716761784413037,0.9797686988866455,3.005219985085757,4.704175988068606,黄金词,0.0006002875398678513
63563817,1841014603,4186,3.17,2,3,True,0.8438207903347595,0.7476881746989511,0.9287775168117253,0.9287775168117253,0.9786332550435175,0.9643887584058626,0.9501442617682077,0.9643887584058626,3.005219985085757,2.7041759880686054,黄金词,0.0006771927051178251
63563817,1841014603,4675,1.45,1,3,True,0.8438207903347595,0.8173005219985087,0.9721436127127064,0.9721436127127064,0.9916430838138119,0.9860718063563532,0.9805005288988945,0.9860718063563532,3.005219985085757,3.004639986742895,黄金词,0.00030975691559017237
63563817,1841014603,4713,7.19,4,8,True,0.8438207903347595,0.6592966658680598,0.8393667559076295,0.8393667559076295,0.9518100267722889,0.9196833779538147,0.8875567291353407,0.9196833779538147,3.005219985085757,2.6701466567238383,黄金词,0.0015359670504091997
63563817,1841014603,4827,14.14,7,13,True,0.8438207903347595,0.5866761172761572,0.7367387521749937,0.7367387521749937,0.9210216256524981,0.8683693760874969,0.8157171265224956,0.8683693760874969,3.005219985085757,2.469450658712404,重点词,0.00302066399065175
63563817,1841014603,4868,6.19,3,3,True,0.8438207903347595,0.5743549710328776,0.815105773382001,0.815105773382001,0.9445317320146003,0.9075528866910005,0.8705740413674007,0.9075528866910005,3.005219985085757,2.458341807335096,潜力词,0.0013223415913814944
63563817,1841014603,5134,68.89,48,115,True,0.8438207903347595,0.8257238544214864,0.8439781199622638,0.8439781199622638,0.9531934359886791,0.9219890599811319,0.8907846839735847,0.9219890599811319,3.005219985085757,2.482888569297965,重点词,0.014716657872418604
63563817,1841014603,5267,3.36,2,4,True,0.8438207903347595,0.7054081886296653,0.9133250012080276,0.9133250012080276,0.9739975003624082,0.9566625006040138,0.9393275008456193,0.9566625006040138,3.005219985085757,2.8041759880686055,黄金词,0.000717781542333089
63563817,1841014603,5307,88.18,34,40,True,0.8438207903347595,0.4569393936780049,0.502420155180034,0.502420155180034,0.8507260465540102,0.751210077590017,0.6516941086260238,0.751210077590017,3.005219985085757,1.5248038066830014,重点词,0.018837492977063035
63563817,1841014603,5374,38.32,26,33,True,0.8438207903347595,0.8040769749306831,0.8381248313786928,0.8381248313786928,0.9514374494136077,0.9190624156893463,0.8866873819650849,0.9190624156893463,3.005219985085757,1.6776988200201781,重点词,0.00818612758994166
63563817,1841014603,5418,16.8,10,27,True,0.8438207903347595,0.7054081886296653,0.8009194516885911,0.8009194516885911,0.9402758355065772,0.9004597258442956,0.8606436161820138,0.9004597258442956,3.005219985085757,2.835653326704781,重点词,0.0035889077116654454
63563817,1841014603,5592,7.11,4,3,True,0.8438207903347595,0.6667149124601055,0.8437932121022643,0.8437932121022643,0.9531379636306793,0.9218966060511322,0.8906552484715851,0.9218966060511322,3.005219985085757,2.2534799900571714,潜力词,0.0015188770136869833
63563817,1841014603,5801,0.5,1,2,True,0.8438207903347595,2.370171513795675,1.0800333828151678,1.0800333828151678,1.0240100148445503,1.040016691407584,1.0560233679706175,1.040016691407584,3.005219985085757,2.893528875631784,黄金词,0.00010681272951385254
