方案ID,推广单元ID,关键词ID,类,C,K,V,d,qbar,eta_raw,eta,w,totC
63563817,1841014603,9,重点词,3424.41,3271.0,9750.0,2.9807398349128706,0.8438207903347595,1.1319951497667706,1.1300956164680698,0.7315411581490635,4681.09
63563817,1841014603,726,重点词,252.86,135.0,255.0,1.8888888888888888,0.8438207903347595,0.6327081277434472,0.6933453647930004,0.05401733356974551,4681.09
63563817,1841014603,1186,潜力词,1.79,1.0,1.0,1.0,0.8438207903347595,0.662059082065831,0.9883198640065234,0.0003823895716595921,4681.09
63563817,1841014603,1567,重点词,37.32,23.0,77.0,3.347826086956522,0.8438207903347595,0.7303583174879492,0.8847568988622341,0.007972502130913954,4681.09
63563817,1841014603,1667,重点词,88.09,41.0,86.0,2.097560975609756,0.8438207903347595,0.551578113665698,0.7139439208690808,0.01881826668575054,4681.09
63563817,1841014603,2123,潜力词,6.32,3.0,2.0,0.6666666666666666,0.8438207903347595,0.562540707388214,0.9509101077893025,0.001350112901055096,4681.09
63563817,1841014603,2478,重点词,49.0,25.0,166.0,6.64,0.8438207903347595,0.6046355902539987,0.8043145850752116,0.010467647492357549,4681.09
63563817,1841014603,2505,黄金词,6.15,2.0,7.0,3.5,0.8438207903347595,0.38539374208059757,0.9326833751343844,0.0013137965730203862,4681.09
63563817,1841014603,2570,重点词,10.34,7.0,27.0,3.857142857142857,0.8438207903347595,0.8022824273002769,0.966118665864847,0.0022088872463464707,4681.09
63563817,1841014603,2889,潜力词,1.89,1.0,1.0,1.0,0.8438207903347595,0.627029501004147,0.9864152198284418,0.0004037521175623626,4681.09
63563817,1841014603,2892,重点词,30.77,18.0,54.0,3.0,0.8438207903347595,0.6932578363393266,0.8831440339750042,0.006573255374282485,4681.09
63563817,1841014603,2985,重点词,114.03,75.0,197.0,2.6266666666666665,0.8438207903347595,0.7794565620217295,0.8466831175232447,0.024359711092929212,4681.09
63563817,1841014603,3169,潜力词,5.66,4.0,4.0,1.0,0.8438207903347595,0.8375164359702032,0.9834772372905383,0.0012091200980968108,4681.09
63563817,1841014603,3304,潜力词,7.68,5.0,6.0,1.2,0.8438207903347595,0.7715402063136965,0.9695809428656239,0.001640643525332775,4681.09
63563817,1841014603,3501,重点词,13.49,8.0,40.0,5.0,0.8438207903347595,0.7027936289979764,0.9368512530348512,0.0028818074422837414,4681.09
63563817,1841014603,4048,黄金词,2.81,2.0,23.0,11.5,0.8438207903347595,0.8434774070447243,0.9916714924028721,0.0006002875398678513,4681.09
63563817,1841014603,4186,黄金词,3.17,2.0,3.0,1.5,0.8438207903347595,0.7476881746989511,0.984957147146806,0.0006771927051178251,4681.09
63563817,1841014603,4675,黄金词,1.45,1.0,3.0,3.0,0.8438207903347595,0.8173005219985087,0.9948510351194916,0.00030975691559017237,4681.09
63563817,1841014603,4713,黄金词,7.19,4.0,8.0,2.0,0.8438207903347595,0.6592966658680598,0.9571663407517286,0.0015359670504091997,4681.09
