日期,投入,词数,点击,浏览,注册,预算,theta,原消费,原点击,原注册
2025-02-01,803.040003147,137,305.1830531428395,753.0154841800644,41.92610634230704,803.04,0.6657652894438805,803.04,313,43.0
2025-02-02,1155.04000031,142,453.014784959683,1102.7699452579882,52.96206254225939,1155.04,0.7083574708192937,1155.04,479,56.0
2025-02-03,1403.280006177,97,499.4330859548072,1155.6805149458926,61.363792130966075,1403.28,0.7132918636458802,1403.28,586,72.0
2025-02-04,1806.390004812,121,633.9082406967186,1471.5939351527875,78.91685811109352,1806.3899999999999,0.6987903641184112,1806.3899999999999,739,92.0
2025-02-05,2007.8199999999997,132,716.8766393862692,1665.9452380213581,107.4455394763593,2007.82,0.7095046798347558,2007.82,834,125.0
2025-02-06,2043.9700066080002,132,674.6935334749169,1567.8379482498742,94.5430429073132,2043.97,0.6560079903035999,2043.97,785,110.0
2025-02-07,2523.34,170,925.4399904116065,2232.689936540034,103.85699291192377,2523.3399999999997,0.6755675160078589,2523.3399999999997,998,112.0
2025-02-08,1938.269999276,164,866.9520951317003,2106.1743782923236,113.89924376865987,1938.27,0.811632344699745,1938.27,921,121.0
2025-08-01,5722.87,712,7887.398778305653,32243.10563056919,389.71157893385754,5722.87,2.0719759893697662,5722.87,6942,343.0
2025-08-02,5515.84,722,7252.297719315491,29300.46274727043,352.542250244503,5515.84,2.006676365484129,5515.84,6480,315.0
2025-08-03,2422.25,261,2164.1650652524436,8076.97636585208,190.1612838164903,2422.25,1.4124594038087823,2422.25,2003,176.0
2025-08-04,2364.28,268,2051.41139629186,7614.625627661833,202.78072902675814,2364.28,1.3813475736440537,2364.28,1912,189.0
2025-08-05,4530.61,450,4400.920696453225,21952.624527006345,322.2164744835387,4530.61,1.4315216072040031,4530.61,3797,278.0
2025-08-06,5300.020000000001,438,5416.793527869209,23420.419150614445,340.0224650806651,5300.0199999999995,1.555656758348125,5300.0199999999995,4827,303.0
2025-08-07,5703.809999999998,448,5416.2221489441245,22449.55977388407,328.1224233350984,5703.81,1.473078062660259,5703.81,4919,298.0
2025-08-08,5924.0999999999985,454,5385.7074984892215,21150.201185094713,294.8380017421107,5924.1,1.4220493780016288,5924.1,4932,270.0
