日期,投入,词数,点击,浏览,注册,预算,theta,原消费,原点击,原注册,估计提升
2025-02-01,803.040003107,140,305.2577301082385,753.6691554455912,41.93636547812861,803.04,0.6657652894438805,803.04,313,43.0,-0.02473568655514867
2025-02-02,1155.04000026,145,453.0972071185998,1103.5932400908541,52.971698535786196,1155.04,0.7083574708192937,1155.04,479,56.0,-0.05407681186096079
2025-02-03,1403.280006117,100,499.4311383610691,1155.9913059681908,61.36355283617231,1403.28,0.7132918636458802,1403.28,586,72.0,-0.14772843283094014
2025-02-04,1806.390004842,124,633.8927087422871,1472.017748401195,78.91492449836322,1806.3899999999999,0.6987903641184112,1806.3899999999999,739,92.0,-0.1422290815395302
2025-02-05,2007.8199999999997,135,716.8580143853476,1666.4341459032028,107.4427479594346,2007.82,0.7095046798347558,2007.82,834,125.0,-0.1404580163245232
2025-02-06,2043.970006648,135,674.675854856132,1568.2972821855344,94.54056564862995,2043.97,0.6560079903035999,2043.97,785,110.0,-0.14054031228518227
2025-02-07,2523.3399999999997,173,925.5518686976773,2234.138479302452,103.8695483909217,2523.3399999999997,0.6755675160078589,2523.3399999999997,998,112.0,-0.07259331793819916
2025-02-08,1938.269999316,167,867.0835044731488,2107.679386130972,113.91650818811185,1938.27,0.811632344699745,1938.27,921,121.0,-0.05854125464370374
2025-08-01,5722.87,698,7850.503708836348,32119.1111789797,387.88861597966974,5722.87,2.0719759893697662,5722.87,6942,343.0,0.13087060052381846
2025-08-02,5515.840000000001,708,7241.047372803006,29227.828242503376,351.99535840014613,5515.84,2.006676365484129,5515.84,6480,315.0,0.11744558222268613
2025-08-03,2422.2499999999995,256,2136.2940261577464,7821.8495048549385,187.712305843117,2422.25,1.4124594038087823,2422.25,2003,176.0,0.06654719229043754
2025-08-04,2364.2799999999997,266,2030.2670718755755,7482.295245137241,200.69062582870492,2364.28,1.3813475736440537,2364.28,1912,189.0,0.06185516311484087
2025-08-05,4530.61,452,4353.976283914474,22040.19838608522,318.7794066179152,4530.61,1.4315216072040031,4530.61,3797,278.0,0.1466885130140834
2025-08-06,5300.0199999999995,438,5349.73541388592,23227.115970247825,335.81309931788553,5300.0199999999995,1.555656758348125,5300.0199999999995,4827,303.0,0.10829405715473772
2025-08-07,5703.809999999998,453,5353.125195129196,22299.73951373062,324.29992033919507,5703.81,1.473078062660259,5703.81,4919,298.0,0.08825476623890963
2025-08-08,5924.0999999999985,457,5299.499800871606,20902.63189757271,290.1186022374967,5924.1,1.4220493780016288,5924.1,4932,270.0,0.07451334162035815
